protocol,split,diagnostic,bin,n_station_years,crop_macro_f1,phenology_mae
random_record_seed42,test,support_density,1-5,25,0.843407,4.5087
random_record_seed42,test,synthetic_distance,0-10,25,0.843407,4.5087
random_record_seed42,train,support_density,1-5,11,1.0,3.519545
random_record_seed42,train,support_density,11-20,3,1.0,1.530833
random_record_seed42,train,support_density,6-10,22,1.0,2.314545
random_record_seed42,validation,support_density,1-5,27,0.705556,4.493796
station_isolated_seed42,test,support_density,1-5,2,1.0,2.35875
station_isolated_seed42,test,support_density,11-20,3,1.0,2.1375
station_isolated_seed42,test,support_density,6-10,1,1.0,5.03
station_isolated_seed42,test,synthetic_distance,0-10,3,1.0,3.0625
station_isolated_seed42,test,synthetic_distance,10-25,3,1.0,2.324167
station_isolated_seed42,train,support_density,1-5,3,1.0,3.075
station_isolated_seed42,train,support_density,11-20,9,1.0,1.731111
station_isolated_seed42,train,support_density,6-10,12,1.0,2.320208
station_isolated_seed42,validation,support_density,11-20,4,1.0,1.41125
station_isolated_seed42,validation,support_density,6-10,2,1.0,1.47375
station_year_seed42,test,support_density,11-20,4,1.0,1.67625
station_year_seed42,test,support_density,6-10,2,1.0,2.5025
station_year_seed42,test,synthetic_distance,0-10,5,1.0,2.226
station_year_seed42,test,synthetic_distance,10-25,1,1.0,0.58
station_year_seed42,train,support_density,1-5,5,1.0,2.7885
station_year_seed42,train,support_density,11-20,9,1.0,1.843056
station_year_seed42,train,support_density,6-10,11,1.0,2.351591
station_year_seed42,validation,support_density,11-20,3,1.0,1.448333
station_year_seed42,validation,support_density,6-10,2,1.0,2.47375
temporal_holdout_2021,test,support_density,1-5,4,1.0,2.82625
temporal_holdout_2021,test,support_density,11-20,5,1.0,1.787
temporal_holdout_2021,test,support_density,6-10,3,1.0,3.3725
temporal_holdout_2021,test,synthetic_distance,0-10,12,1.0,2.529792
temporal_holdout_2021,train,support_density,1-5,1,1.0,2.6375
temporal_holdout_2021,train,support_density,11-20,5,1.0,1.6695
temporal_holdout_2021,train,support_density,6-10,6,1.0,2.258333
temporal_holdout_2021,validation,support_density,11-20,6,1.0,1.725833
temporal_holdout_2021,validation,support_density,6-10,6,1.0,2.025417
