station_id,station_year_id,year,crop_label,sowing_doy,maturity_doy,synthetic_x,synthetic_y
SYN_ST001,SYN_ST001_2019,2019,rice,138,240,12.305,-1.04
SYN_ST001,SYN_ST001_2020,2020,wheat,96,218,12.305,-1.04
SYN_ST001,SYN_ST001_2021,2021,maize,125,244,12.305,-1.04
SYN_ST002,SYN_ST002_2019,2019,wheat,95,232,24.429,1.536
SYN_ST002,SYN_ST002_2020,2020,rice,145,253,24.429,1.536
SYN_ST002,SYN_ST002_2021,2021,wheat,104,225,24.429,1.536
SYN_ST003,SYN_ST003_2019,2019,wheat,105,231,36.067,-0.697
SYN_ST003,SYN_ST003_2020,2020,wheat,102,227,36.067,-0.697
SYN_ST003,SYN_ST003_2021,2021,maize,126,251,36.067,-0.697
SYN_ST004,SYN_ST004_2019,2019,maize,123,241,0.435,9.44
SYN_ST004,SYN_ST004_2020,2020,maize,121,232,0.435,9.44
SYN_ST004,SYN_ST004_2021,2021,wheat,103,220,0.435,9.44
SYN_ST005,SYN_ST005_2019,2019,rice,149,273,12.272,9.286
SYN_ST005,SYN_ST005_2020,2020,rice,153,256,12.272,9.286
SYN_ST005,SYN_ST005_2021,2021,maize,118,234,12.272,9.286
SYN_ST006,SYN_ST006_2019,2019,wheat,97,221,25.245,9.569
SYN_ST006,SYN_ST006_2020,2020,wheat,100,230,25.245,9.569
SYN_ST006,SYN_ST006_2021,2021,wheat,103,233,25.245,9.569
SYN_ST007,SYN_ST007_2019,2019,maize,127,238,37.242,11.13
SYN_ST007,SYN_ST007_2020,2020,maize,125,247,37.242,11.13
SYN_ST007,SYN_ST007_2021,2021,maize,118,225,37.242,11.13
SYN_ST008,SYN_ST008_2019,2019,rice,154,257,0.027,20.571
SYN_ST008,SYN_ST008_2020,2020,rice,152,252,0.027,20.571
SYN_ST008,SYN_ST008_2021,2021,rice,149,252,0.027,20.571
SYN_ST009,SYN_ST009_2019,2019,wheat,109,238,12.028,19.783
SYN_ST009,SYN_ST009_2020,2020,wheat,104,219,12.028,19.783
SYN_ST009,SYN_ST009_2021,2021,wheat,104,227,12.028,19.783
SYN_ST010,SYN_ST010_2019,2019,maize,121,242,24.288,19.748
SYN_ST010,SYN_ST010_2020,2020,maize,128,246,24.288,19.748
SYN_ST010,SYN_ST010_2021,2021,rice,148,250,24.288,19.748
SYN_ST011,SYN_ST011_2019,2019,rice,153,254,35.416,19.472
SYN_ST011,SYN_ST011_2020,2020,rice,154,270,35.416,19.472
SYN_ST011,SYN_ST011_2021,2021,maize,128,251,35.416,19.472
SYN_ST012,SYN_ST012_2019,2019,wheat,102,217,-1.626,30.725
SYN_ST012,SYN_ST012_2020,2020,wheat,98,221,-1.626,30.725
SYN_ST012,SYN_ST012_2021,2021,wheat,97,216,-1.626,30.725
